country_name,Species,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION,n_eco,mean_prod_ecoreg,status,Introduced,Native
United States of America,Salmo salar,21,USA,840,17170.3,840,Northern California,3,5723.433333,Introduced,1,0
United States of America,Salmo salar,21,USA,840,17170.3,840,Gulf of Maine/Bay of Fundy,3,5723.433333,Native,0,1
France,Salmo salar,27,FRA,250,667,250,Celtic Seas,2,419.405586,Native,0,1
China,Sciaenops ocellatus,61,CHN,156,60190.3,156,East China Sea,3,22952.18857,Introduced,1,0
China,Sciaenops ocellatus,61,CHN,156,60190.3,156,Yellow Sea,3,3831.756672,Introduced,1,0
China,Sciaenops ocellatus,61,CHN,156,60190.3,156,Southern China,3,27907.8118,Introduced,1,0
Mayotte,Sciaenops ocellatus,51,MYT,175,84.92,175,Western and Northern Madagascar,1,84.92,Introduced,1,0
Guadeloupe,Sciaenops ocellatus,31,GLP,312,6.79,312,Eastern Caribbean,1,6.79,Introduced,1,0
Israel,Sciaenops ocellatus,37,ISR,376,60.5,376,Levantine Sea,1,60.5,Introduced,1,0
Martinique,Sciaenops ocellatus,31,MTQ,474,44.81,474,Eastern Caribbean,1,44.81,Introduced,1,0
Mauritius,Sciaenops ocellatus,51,MUS,480,413.55,480,Mascarene Islands,1,413.55,Introduced,1,0
Mexico,Sciaenops ocellatus,31,MEX,484,147.262375,484,Southern Gulf of Mexico,1,147.262375,Native,0,1
Reunion,Sciaenops ocellatus,51,REU,638,50,638,Mascarene Islands,1,50,Introduced,1,0
United States of America,Sciaenops ocellatus,31,USA,840,1424.1,840,Northern Gulf of Mexico,1,1424.1,Native,0,1
China,Sciaenops ocellatus,61,CHN,156,60190.3,156,Gulf of Tonkin,3,5498.542967,Introduced,1,0
China,Scophthalmus maximus,61,CHN,156,56500,156,East China Sea,2,28250,Introduced,1,0
China,Scophthalmus maximus,61,CHN,156,56500,156,Yellow Sea,2,28250,Introduced,1,0
Croatia,Scophthalmus maximus,37,HRV,191,2.729666667,191,Adriatic Sea,1,2.729666667,Native,0,1
Denmark,Scophthalmus maximus,27,DNK,208,6.6375,208,North Sea,1,6.6375,Native,0,1
France,Scophthalmus maximus,27,FRA,250,477.16,250,South European Atlantic Shelf,1,465.8595848,Native,0,1
Germany,Scophthalmus maximus,27,DEU,276,15,276,Baltic Sea,2,7.5,Native,0,1
Germany,Scophthalmus maximus,27,DEU,276,15,276,North Sea,2,7.5,Native,0,1
Iceland,Scophthalmus maximus,27,ISL,352,37.88888889,352,South and West Iceland,1,37.88888889,Native,0,1
Portugal,Scophthalmus maximus,27,PRT,620,2245.2021,620,South European Atlantic Shelf,1,2245.2021,Native,0,1
Romania,Scophthalmus maximus,37,ROU,642,6.175555556,642,Black Sea,1,6.175555556,Native,0,1
Spain,Scophthalmus maximus,27,ESP,724,7334.5908,724,South European Atlantic Shelf,1,7334.5908,Native,0,1
Spain,Scophthalmus maximus,37,ESP,724,3,724,Western Mediterranean,1,3,Native,0,1
United Kingdom,Scophthalmus maximus,27,GBR,826,20.825,826,Celtic Seas,1,20.825,Native,0,1
Channel Islands,Scophthalmus maximus,27,NA,830,2.04,830,Celtic Seas,1,2.04,Native,0,1
France,Scophthalmus maximus,27,FRA,250,477.16,250,Celtic Seas,1,11.30041523,Native,0,1
"Korea, Republic of",Sebastes schlegelii,61,KOR,410,24807.8,410,Yellow Sea,3,8269.266667,Native,0,1
"Korea, Republic of",Sebastes schlegelii,61,KOR,410,24807.8,410,East China Sea,3,8269.266667,Native,0,1
"Korea, Republic of",Sebastes schlegelii,61,KOR,410,24807.8,410,Sea of Japan/East Sea,3,8269.266667,Native,0,1
Japan,Seriola quinqueradiata,61,JPN,392,148134.6,392,Central Kuroshio Current,4,136262.5643,Native,0,1
Japan,Seriola quinqueradiata,61,JPN,392,148134.6,392,East China Sea,4,11144.68118,Native,0,1
Japan,Seriola quinqueradiata,61,JPN,392,148134.6,392,South Kuroshio,4,3.131539254,Native,0,1
Japan,Seriola quinqueradiata,61,JPN,392,148134.6,392,Sea of Japan/East Sea,4,724.2229391,Native,0,1
"Korea, Republic of",Seriola quinqueradiata,61,KOR,410,187.2,410,Yellow Sea,3,62.4,Native,0,1
