country_name,Species,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION
Turkey,Thunnus thynnus,37,TUR,792,545,792,Aegean Sea
Turkey,Argyrosomus regius,37,TUR,792,2848.333333,792,Levantine Sea
Turkey,Dicentrarchus labrax,37,TUR,792,59962.15,792,Levantine Sea
Turkey,Oncorhynchus mykiss,37,TUR,792,4952.82,792,Levantine Sea
Turkey,Sparus aurata,37,TUR,792,37229.11,792,Levantine Sea
Turkey,Thunnus thynnus,37,TUR,792,545,792,Levantine Sea
Turkey,Dicentrarchus labrax,37,TUR,792,59962.15,792,Black Sea
Turkey,Oncorhynchus mykiss,37,TUR,792,4952.82,792,Black Sea
Turkey,Sparus aurata,37,TUR,792,37229.11,792,Black Sea
Turkey,Thunnus thynnus,37,TUR,792,545,792,Black Sea
Turkey,Pagrus pagrus,37,TUR,792,158,792,Ionian Sea
Tuvalu,Chanos chanos,71,TUV,798,2.333333333,798,Gilbert/Ellis Islands
United Kingdom,Dicentrarchus labrax,27,GBR,826,222.2222222,826,Celtic Seas
United Kingdom,Oncorhynchus mykiss,27,GBR,826,2474.9,826,Celtic Seas
United Kingdom,Salmo salar,27,GBR,826,155714.678,826,Celtic Seas
United Kingdom,Scophthalmus maximus,27,GBR,826,20.825,826,Celtic Seas
United Kingdom,Gadus morhua,27,GBR,826,977.9,826,Celtic Seas
United Kingdom,Hippoglossus hippoglossus,27,GBR,826,108.21,826,Celtic Seas
Channel Islands,Scophthalmus maximus,27,NA,830,2.04,830,Celtic Seas
United States of America,Salmo salar,21,USA,840,17170.3,840,"Oregon, Washington, Vancouver Coast and Shelf"
United States of America,Salmo salar,21,USA,840,17170.3,840,Northern California
United States of America,Salmo salar,21,USA,840,17170.3,840,Gulf of Maine/Bay of Fundy
United States of America,Sciaenops ocellatus,31,USA,840,1424.1,840,Northern Gulf of Mexico
