ECOREGION,Species,status
Ogasawara Islands,Rachycentron canadum,Native
Ogasawara Islands,Seriola quinqueradiata,Native
Ogasawara Islands,Thunnus orientalis,Native
"Oregon, Washington, Vancouver Coast and Shelf",Oncorhynchus kisutch,Native
"Oregon, Washington, Vancouver Coast and Shelf",Oncorhynchus mykiss,Native
"Oregon, Washington, Vancouver Coast and Shelf",Oncorhynchus tshawytscha,Native
"Oregon, Washington, Vancouver Coast and Shelf",Thunnus orientalis,Native
Oyashio Current,Oncorhynchus kisutch,Native
Oyashio Current,Paralichthys olivaceus,Native
Oyashio Current,Thunnus orientalis,Native
Palawan/North Borneo,Chanos chanos,Native
Palawan/North Borneo,Lates calcarifer,Native
Palawan/North Borneo,Paralichthys olivaceus,Native
Palawan/North Borneo,Rachycentron canadum,Native
Palawan/North Borneo,Thunnus orientalis,Native
Palawan/North Borneo,Trachinotus blochii,Native
Panama Bight,Chanos chanos,Native
Panama Bight,Mugil cephalus,Native
Panama Bight,Rachycentron canadum,Native
Phoenix/Tokelau/Northern Cook Islands,Chanos chanos,Native
Phoenix/Tokelau/Northern Cook Islands,Thunnus orientalis,Native
Phoenix/Tokelau/Northern Cook Islands,Trachinotus blochii,Native
Prince Edward Islands,Thunnus maccoyii,Native
Puget Trough/Georgia Basin,Oncorhynchus kisutch,Native
Puget Trough/Georgia Basin,Oncorhynchus mykiss,Native
Puget Trough/Georgia Basin,Oncorhynchus tshawytscha,Native
Rapa-Pitcairn,Mugil cephalus,Native
Rapa-Pitcairn,Pseudocaranx dentex,Native
Rapa-Pitcairn,Thunnus orientalis,Native
Revillagigedos,Chanos chanos,Native
Revillagigedos,Mugil cephalus,Native
Revillagigedos,Thunnus orientalis,Native
Rio de la Plata,Mugil cephalus,Native
Rio de la Plata,Pagrus pagrus,Native
Rio Grande,Pagrus pagrus,Native
Rio Grande,Thunnus maccoyii,Native
Rio Grande,Thunnus thynnus,Native
Saharan Upwelling,Argyrosomus regius,Native
Saharan Upwelling,Dicentrarchus labrax,Native
Saharan Upwelling,Mugil cephalus,Native
Saharan Upwelling,Pagrus pagrus,Native
Saharan Upwelling,Scophthalmus maximus,Native
Saharan Upwelling,Sparus aurata,Native
Saharan Upwelling,Thunnus thynnus,Native
Sahelian Upwelling,Argyrosomus regius,Native
Sahelian Upwelling,Dicentrarchus labrax,Native
Sahelian Upwelling,Mugil cephalus,Native
Sahelian Upwelling,Pagrus pagrus,Native
Sahelian Upwelling,Rachycentron canadum,Native
Sahelian Upwelling,Thunnus thynnus,Native
Samoa Islands,Chanos chanos,Native
Samoa Islands,Pseudocaranx dentex,Native
Samoa Islands,Thunnus orientalis,Native
Samoa Islands,Trachinotus blochii,Native
Scotian Shelf,Gadus morhua,Native
Scotian Shelf,Hippoglossus hippoglossus,Native
Scotian Shelf,Mugil cephalus,Native
Scotian Shelf,Rachycentron canadum,Native
Scotian Shelf,Salmo salar,Native
