REALM,PROVINCE,ECOREGION,country_name,Species,mean_prod,n_eco,mean_prod_ecoreg,status
Central Indo-Pacific,South Kuroshio,South Kuroshio,Japan,Pagrus auratus,64378.9,4,82.62683371,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Yellow Sea,"Korea, Republic of",Pagrus auratus,5484.2,3,1828.066667,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,"Korea, Republic of",Pagrus auratus,5484.2,3,1828.066667,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,"Korea, Republic of",Pagrus auratus,5484.2,3,1828.066667,Introduced
Temperate Northern Atlantic,Mediterranean Sea,Ionian Sea,Greece,Pagrus pagrus,1035.88,2,517.94,Introduced
Temperate Northern Atlantic,Mediterranean Sea,Aegean Sea,Greece,Pagrus pagrus,1035.88,2,517.94,Native
Temperate Northern Atlantic,Mediterranean Sea,Ionian Sea,Turkey,Pagrus pagrus,158,1,158,Introduced
Temperate Northern Atlantic,Northern European Seas,Baltic Sea,Germany,Paralichthys olivaceus,0.25,1,0.25,Introduced
Temperate Northern Pacific,Warm Temperate Northwest Pacific,Central Kuroshio Current,Japan,Paralichthys olivaceus,3394.9,4,321.3368329,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,Japan,Paralichthys olivaceus,3394.9,4,3023.20682,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Northeastern Honshu,Japan,Paralichthys olivaceus,3394.9,4,1.89591544,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,Japan,Paralichthys olivaceus,3394.9,4,48.46043202,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Yellow Sea,"Korea, Republic of",Paralichthys olivaceus,42983.4,3,14327.8,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,"Korea, Republic of",Paralichthys olivaceus,42983.4,3,14327.8,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,"Korea, Republic of",Paralichthys olivaceus,42983.4,3,14327.8,Native
